Jahr;Insgesamt;LandForstFisch;ProdAll;ProdBau;DienstAll;HandelVerkehrGast;InformFinanzVermietUnternehmdienst;OeffentSonstDienst
1970;26589;2245;12352;2276;11992;5857;1623;4512
1971;26710;2111;12325;2309;12274;5897;1689;4688
1972;26857;2022;12147;2327;12688;6015;1747;4926
1973;27181;1936;12213;2350;13032;6119;1797;5116
1974;26924;1839;11852;2209;13233;6098;1846;5289
1975;26248;1745;11121;2044;13382;6057;1876;5449
1976;26139;1615;10914;2040;13610;6084;1915;5611
1977;26198;1536;10946;2034;13716;6104;1934;5678
1978;26457;1498;10935;2052;14024;6187;1995;5842
1979;26968;1417;11107;2122;14444;6313;2084;6047
1980;27420;1411;11263;2182;14746;6403;2164;6179
1981;27453;1377;11108;2158;14968;6442;2220;6306
1982;27241;1333;10796;2076;15112;6429;2257;6426
1983;26993;1296;10490;2032;15207;6394;2285;6528
1984;27226;1260;10471;2038;15495;6469;2354;6672
1985;27608;1224;10508;1958;15876;6561;2441;6874
1986;28138;1209;10644;1938;16285;6676;2538;7071
1987;28531;1166;10652;1919;16713;6824;2645;7244
1988;28937;1124;10674;1926;17139;6988;2754;7397
1989;29480;1081;10818;1955;17581;7157;2889;7535
1990;30409;1054;11127;2035;18228;7416;3087;7725
1991;31261;1031;11284;2061;18946;7761;3264;7921
1991;38871;1174;13856;2888;23841;8879;4743;10219
1992;38360;1037;13155;3000;24168;8890;4846;10432
1993;37863;958;12589;3114;24316;8871;4942;10503
1994;37879;920;12265;3255;24694;8849;5115;10730
1995;38042;865;12125;3320;25052;8840;5265;10947
1996;38057;809;11807;3222;25441;8862;5407;11172
1997;38040;784;11534;3110;25722;8882;5599;11241
1998;38495;778;11469;3010;26248;8993;5903;11352
1999;39120;772;11373;2963;26975;9145;6248;11582
2000;39971;766;11363;2888;27842;9373;6660;11809
2001;39859;733;11159;2695;27967;9324;6796;11847
2002;39666;714;10834;2548;28118;9284;6843;11991
2003;39237;705;10495;2429;28037;9140;6881;12016
2004;39362;702;10303;2349;28357;9223;7049;12085
2005;39311;679;10092;2270;28540;9189;7207;12144
2006;39595;663;9999;2266;28933;9229;7490;12214
2007;40272;663;10146;2305;29463;9353;7765;12345
2008;40838;657;10318;2295;29863;9443;7931;12489
2009;40903;652;10155;2306;30096;9470;7876;12750
2010;41048;645;10034;2325;30369;9469;8053;12847
2011;41544;650;10226;2368;30668;9595;8229;12844
2012;42019;647;10390;2401;30982;9693;8363;12926
2013;42350;641;10434;2415;31275;9730;8464;13081
2014;42721;638;10491;2427;31592;9785;8581;13226
2015;43122;633;10508;2426;31981;9846;8693;13442
2016;43661;623;10553;2450;32485;9941;8850;13694
2017;44251;615;10654;2479;32982;10044;9025;13913
2018;44866;608;10827;2516;33431;10183;9137;14111
2019;45276;598;10921;2552;33757;10231;9179;14347
2020;44915;580;10769;2594;33566;10020;9067;14479
2021;44984;560;10689;2620;33735;9904;9140;14691
2022;45596;557;10738;2634;34301;10080;9314;14907
